case_number,doc_id,sentence_id,token_id,token,sentence
25-2155,1,30,65,constitutionally,"1 SSG Dreiling alleged: (1) the United States Army Installation Management Command (IMCOM) had no authority to promulgate IMCOM Regulation 608-10-1, which requires all children participating in youth sports leagues on base to receive the current influenza vaccine; and (2) IMCOM Regulation 608-10-1 violated SSG Dreiling’s constitutionally protected parental rights."
25-2155,1,53,21,fairly,"Under the Tucker Act, a plaintiff must identify a money-mandating source of law, which “can fairly be interpreted as mandating compensation by the Federal Government for the damage sustained.”"
25-2155,2,7,10,truly,"In SSG Dreiling’s view, “this Court truly has a duty and obligation to correct demonstrably erroneous precedents that are contrary to the original meaning of the law.”"
25-2155,2,7,18,demonstrably,"In SSG Dreiling’s view, “this Court truly has a duty and obligation to correct demonstrably erroneous precedents that are contrary to the original meaning of the law.”"
24-1641,1,24,18,epoprostenol,"Actelion Pharmaceuticals Ltd owns U.S. Patent Nos. 8,318,802 and 8,598,227, which describe certain pharmaceutical compositions involving epoprostenol."
24-1641,1,27,45,literally,"Actelion sued Mylan for patent infringement in the Northern District of West Virginia under 35 U.S.C. § 271(e)(2) and 21 U.S.C. § 355(j), alleging that Mylan’s proposed generic drug was covered (literally or under the doctrine of equivalents) by certain claims of the ’802 and ’227 patents."
24-1641,1,32,10,both,I A The ’802 and ’227 patents are both titled “Epoprostenol Formulation and Method of Making Thereof.”
24-1641,1,42,17,rapidly,The presence of an acid in an aqueous (water-based) solution of epoprostenol rapidly catalyzes this unwanted reaction.
24-1641,1,50,9,commonly,The degree of acidity of a solution is commonly expressed using the pH scale.
24-1641,2,10,3,frequently,"dissociate more frequently, while decreasing the temperature will do the opposite."
24-1641,2,21,28,suitably,"The ’802 patent states that Flolan’s needs for a special diluent and refrigeration were inconvenient, suggesting the desirability of providing epoprostenol compositions that would be suitably stable even when reconstituted with common commercially available intravenous fluids (which are more acidic than the Flolan diluent) and kept at room temperature (at which hydrogen-ion concentration would be greater than during refrigeration)."
24-1641,2,30,23,highly,"To achieve such a high pH in the reconstituted solution without using Flolan’s basic diluent, the patent discloses creating a highly basic “bulk solution” that includes epoprostenol."
24-1641,2,31,8,mildly,"The patent discloses adding arginine (a mildly basic amino acid) and sodium hydroxide or other bases to the bulk solution to increase its pH. ’802 patent, col."
24-1641,2,37,1,appropriately,"appropriately basic solution when reconstituted with a certain quantity of typical intravenous fluid (e.g., saline)."
24-1641,2,41,24,separately,"A number of experimental results are reported in the specification, showing the stability of the freeze-dried powder forms and, separately, of the reconstituted solution forms of epoprostenol compositions made from bulk solutions with varying pH values (among other differences)."
24-1641,2,51,38,currently,"A further benefit of using a pH 13 bulk solution is that the lyophilized composition can be manufactured “without cooling the bulk solution to 5°C,” something that “would not be possible for the currently available [Flolan] product because the pH of the [Flolan] bulk solution is 10.5,” so that, if unrefrigerated, it quickly suffers “significant degradation.”"
24-1641,2,51,65,quickly,"A further benefit of using a pH 13 bulk solution is that the lyophilized composition can be manufactured “without cooling the bulk solution to 5°C,” something that “would not be possible for the currently available [Flolan] product because the pH of the [Flolan] bulk solution is 10.5,” so that, if unrefrigerated, it quickly suffers “significant degradation.”"
24-1641,2,53,42,directly,"Despite the ubiquitous references to pH in the specification, and the importance of particular pH thresholds to the invention, the term “pH” is not defined, and the conditions under which pH measurements were taken are not directly stated."
24-1641,3,16,33,literally,"The court held a claim-construction hearing and construed the “pH of 13 or higher” term to be subject to “ordinary rounding rules,” i.e., to literally encompass pH values as low as 12.5."
24-1641,3,16,38,low,"The court held a claim-construction hearing and construed the “pH of 13 or higher” term to be subject to “ordinary rounding rules,” i.e., to literally encompass pH values as low as 12.5."
24-1641,3,35,7,literally,"First, Actelion argued, Mylan literally infringed even though it was undisputed that Mylan’s bulk solution, when measured at 25±2°C, has a pH well below 12.98. J.A. 48–"
24-1641,3,39,14,literally,"The district court rejected both arguments, finding that Mylan does not infringe literally or by an equivalent."
24-1641,4,8,41,impermissibly,"Finally, the court reasoned that, even taken on its merits, Actelion’s equivalents-infringement argument failed, because Actelion had evaluated the function of Mylan’s generic and the way it achieves its function “at an impermissibly high level of generality.”"
24-1641,4,13,2,timely,Actelion timely appealed.
24-1641,4,17,9,incorrectly,"Second, Actelion argues that the district court incorrectly held that Actelion was barred from asserting the doctrine of equivalents and that the alternative finding of no proved equivalent was clearly erroneous."
24-1641,4,17,31,clearly,"Second, Actelion argues that the district court incorrectly held that Actelion was barred from asserting the doctrine of equivalents and that the alternative finding of no proved equivalent was clearly erroneous."
24-1641,4,30,59,clearly,"According to Actelion, the phrase covers a solution with pH measured at the solution’s actual temperature, which might be well below standard temperature; that is the phrase’s ordinary meaning to a relevant artisan, Actelion contends, and the district court’s construction is contrary to dispositive intrinsic evidence and rests on a clearly erroneous evaluation of the extrinsic evidence."
24-1641,4,32,19,all,"Mylan, for its part, suggests that the district court did not construe the claim phrase at all, Mylan Br. at 27–43, but that, if it did, its construction was correct, id."
24-1641,4,35,33,fully,"On the other hand, we see no harmful denial to Actelion of notice and opportunity to present arguments and evidence relevant to the phrase’s scope, matters that have been fully briefed here."
24-1641,4,38,6,alone,"The claim language, standing alone, does not resolve the question of the proper interpretation of “a pH of 13 or higher.”"
24-1641,5,1,1,simply,simply does not specify the conditions for taking the pH measurement necessary to determine whether a bulk solution meets the claims; nor does the remainder of claim 1 or any of the other claims of either patent.
24-1641,5,8,8,imply,The word “having” does not imply use of a pH
